codmpio,depto2010,mpio2010,codmpio1928,depto1928,mpio1928,match,men1918,women1918,pop1918,houses1928,families1928,men1928,women1928,pop1928,men21_1928,ink
15740,Boyaca,Siachoque,4094,Boyaca,Siachoque,1,2568,2840,5408,1019,1123,4235,4824,9059,1189,
15753,Boyaca,Soata,4095,Boyaca,Soata,1,6142,7216,13358,2391,2526,11759,9608,21367,6475,
15755,Boyaca,Socota,4096,Boyaca,Socota,1,4431,4649,9080,1967,2033,5611,6311,11922,2335,
15757,Boyaca,Socha,4097,Boyaca,Socha,1,2688,3198,5886,1528,1559,3518,3456,6974,1723,
15759,Boyaca,Sogamoso,4098,Boyaca,Sogamoso,1,7695,8844,16539,4138,4327,12809,12875,25684,6283,
15761,Boyaca,Somondoco,4099,Boyaca,Somondoco,1,4161,4648,8809,1813,1873,4151,4482,8633,1696,
15762,Boyaca,Sora,4100,Boyaca,Sora,1,934,1079,2013,512,549,1639,1189,2828,833,
15764,Boyaca,Soraca,4101,Boyaca,Soraca,1,1227,1522,2749,662,713,1549,1656,3205,721,
15763,Boyaca,Sotaquira,4102,Boyaca,Sotaquira,1,2910,3406,6316,1571,1543,4917,4938,9855,2073,
15774,Boyaca,Susacon,4103,Boyaca,Susacon,1,2344,2567,4911,777,796,4111,3996,8107,1974,
15776,Boyaca,Sutamarchan,4104,Boyaca,Sutamarchan,1,2536,2530,5066,1028,111,4655,3983,8638,2610,
15778,Boyaca,Sutatenza,4105,Boyaca,Sutatensa,1,3229,3762,6991,2203,2304,5079,4710,9789,1936,
85400,Casanare,Tamara,4106,Boyaca,Tamara,1,1672,1791,3463,631,671,3026,3086,6112,906,
81794,Arauca,Tame,4107,Boyaca,Tame,1,1185,1034,2219,,,,,,,
15790,Boyaca,Tasco,4108,Boyaca,Tasco,1,2645,3027,5672,1199,1270,2848,3371,6219,1227,
,,,4109,Boyaca,Ten,,357,415,772,173,177,850,839,1689,184,
15798,Boyaca,Tenza,4110,Boyaca,Tensa,1,2965,3733,6698,1834,1856,2933,3572,6505,1300,1
15804,Boyaca,Tibana,4111,Boyaca,Tibana,1,5394,5365,10759,2671,2784,6657,6431,13088,3200,1
15806,Boyaca,Tibasosa,4112,Boyaca,Tibasosa,1,2017,2240,4257,1113,1392,3013,3539,6552,1200,1
15808,Boyaca,Tinjaca,4113,Boyaca,Tinjaca,1,2861,3259,6120,1234,1250,3543,3821,7364,1700,1
15814,Boyaca,Toca,4114,Boyaca,Toca,1,2228,2410,4638,1027,1042,3486,3717,7203,1438,
15816,Boyaca,Togsi,4115,Boyaca,Togui,1,1686,1790,3476,686,728,2505,2498,5003,1034,
15820,Boyaca,Topaga,4116,Boyaca,Topaga,1,1357,1566,2923,774,850,1793,2164,3957,760,
15822,Boyaca,Tota,4117,Boyaca,Tota,1,2667,3160,5827,1060,1169,3340,3786,7126,1368,
85430,Casanare,Trinidad,4118,Boyaca,Trinidad,1,726,654,1380,300,316,1179,1062,2241,499,
15835,Boyaca,Turmeque,4119,Boyaca,Turmeque,1,3229,3678,6907,2003,2090,5014,5538,10552,2235,
15837,Boyaca,Tuta,4120,Boyaca,Tuta,1,2185,2493,4678,1459,1563,3051,3525,6576,1411,
15839,Boyaca,Tutaza,4121,Boyaca,Tutasa,1,673,822,1495,396,418,1267,1272,2539,563,
15842,Boyaca,Umbita,4122,Boyaca,Umbita,1,4273,4041,8314,1191,1353,7201,6718,13919,3052,
15861,Boyaca,Ventaquemada,4123,Boyaca,Ventaquemada (Padua),1,3115,3600,6715,1495,1621,5158,4743,9901,2538,
15879,Boyaca,Viracacha,4124,Boyaca,Viracacha,1,2144,2261,4405,1655,1682,3403,3395,6798,1483,
,,,4125,Boyaca,Zapatosa,,344,262,606,132,140,641,424,1065,383,
15897,Boyaca,Zetaquira,4126,Boyaca,Zetaquira,1,3307,4391,7698,912,1053,5290,4508,9798,2642,
,,,4127,Boyaca,Territorio Vasquez,,966,880,1846,550,586,1618,1432,3050,779,
,,,4128,Boyaca,Indios (Tribus),2,,,,,,2163,2127,4290,,
17001,Caldas,Manizales,5001,Caldas,Manizales,1,21468,21735,43203,12936,11953,42734,38357,81091,20496,
17013,Caldas,Aguadas,5002,Caldas,Aguadas,1,13452,14261,27713,5151,4428,12942,14377,27319,5264,
17042,Caldas,Anserma,5003,Caldas,Anserma,1,8190,8471,16661,2560,2547,8196,8115,16311,3519,
66045,Risaralda,Apia,5004,Caldas,Apia,1,5540,5589,11129,2211,2104,7287,6368,13655,3241,
17050,Caldas,Aranzazu,5005,Caldas,Aranzazu,1,4391,4318,8709,1824,1685,5531,5393,10924,2077,
63001,Quindio,Armenia,5006,Caldas,Armenia,1,8828,8578,17406,5307,5334,17421,15917,33338,9161,
66075,Risaralda,Balboa,5007,Caldas,Balboa,1,,,,761,734,2395,2114,4509,944,
17088,Caldas,Belalcazar,5008,Caldas,Belalcazar,1,4641,4333,8974,2007,2116,6916,6193,13109,3222,
,,,5009,Caldas,Belen (V. Mocatan),3,,,,,,,,,,
63130,Quindio,Calarca,5010,Caldas,Calarca,1,10141,9143,19284,3846,4024,13530,11146,24676,6411,
63190,Quindio,Circasia,5011,Caldas,Circasia,1,3640,3482,7122,1598,1612,5251,4886,10137,2304,
,,,5012,Caldas,Colon (V. Pijao),3,,,,,,,,,,
17174,Caldas,Chinchina,5013,Caldas,Chinchina (S. Francisco),1,3666,3317,6983,2552,2135,8515,7158,15673,4319,
17272,Caldas,Filadelfia,5014,Caldas,Filadelfia,1,3227,2910,6137,1348,1138,5198,4490,9688,2324,
63272,Quindio,Filandia,5015,Caldas,Filandia,1,6678,6154,12832,1458,1309,4284,4047,8331,1756,
66318,Risaralda,Guatica,5016,Caldas,Guatica,1,,,,1407,1149,3287,3402,6689,1211,
17380,Caldas,La Dorada,5017,Caldas,La Dorada,1,,,,1002,1198,3285,1965,5250,2145,
17433,Caldas,Manzanares,5018,Caldas,Manzanares,1,6953,7078,14031,1728,1877,6250,6331,12581,2472,
17442,Caldas,Marmato,5019,Caldas,Marmato,1,2476,2900,5376,800,616,1359,1647,3006,502,
17444,Caldas,Marquetalia,5020,Caldas,Marquetalia (Nuñez),1,,,,684,684,2339,2275,4614,874,
66440,Risaralda,Marsella,5021,Caldas,Marsella (Segovia),1,4763,4432,9195,1795,1816,5940,5288,11228,2492,
17446,Caldas,Marulanda,5022,Caldas,Marulanda,1,2327,2348,4675,724,668,2380,2385,4765,845,
